name;n_points;dt_sec_nominal;duration_h;Q_max_ls;Qb_m3s_used;model;k_unique_s-1;k_fast_s-1;k_slow_s-1;t_break_h;R2_single;R2_two;R2_1;R2_2;BIC_single;BIC_two;delta_BIC
rec_20230622_1119;10;300.0;0.75;161.871275804858;0.1028400350789702;single;0.0007256848689550601;;;;0.5131155469238929;;;;-5.309684613113648;;
rec_20230622_1414;12;300.0;0.9166666666666666;57.2182608430697;0.045744784918169544;single;5.096939371521898e-05;;;;0.012955518527076437;;;;-13.628677822145036;;
rec_20230912_1759;12;300.0;0.9166666666666666;11.2084314345323;0.002472695795565868;single;0.0007810790156985962;;;;0.43017286911966535;;;;3.2535773172281797;;
rec_20230916_0649;13;300.0;1.0833333333333333;130.279927618099;0.09834860474265456;single;0.0006157581321446084;;;;0.5359238518841438;;;;-5.452562337388902;;
rec_20230916_0829;11;300.0;0.8333333333333334;90.9302428042717;0.06467046729211481;single;0.0003967716005535171;;;;0.2531620535459771;;;;-4.799851107524791;;
rec_20231020_0324;12;300.0;0.9166666666666666;408.572082930016;0.3150422918596547;single;5.827003384692464e-05;;;;0.12797016881870216;;;;-39.38597641282951;;
rec_20231020_0814;12;300.0;0.9166666666666666;193.947153812666;0.18225734374384484;single;1.1349681944664074e-05;;;;0.0021321333471610027;;;;-27.893877795450518;;
rec_20231023_1724;26;300.0;2.0833333333333335;1147.9;0.3154806819916498;two;;0.0003631376889191801;0.00026279780041277973;0.4166666666666667;0.9280404101523418;0.9293628768187029;0.9981417238810564;0.8639916016696884;-72.0655252042567;-66.0316029806389;6.033922223617807
rec_20231023_2014;11;300.0;0.8333333333333334;271.442923078957;0.245615408714692;single;2.6432603631401557e-05;;;;0.013358213238118366;;;;-28.96869826155179;;
rec_20231024_0409;11;300.0;0.8333333333333334;543.765239767396;0.433716896912425;single;6.0765696750530106e-05;;;;0.22644845704780092;;;;-44.466007347449704;;
rec_20231024_1154;12;300.0;0.9166666666666666;218.88903045955;0.2108734509733653;single;6.402438765620415e-06;;;;0.0007846000387099483;;;;-29.62149073407856;;
rec_20231027_0524;11;300.0;0.8333333333333334;115.072736922871;0.112638195895808;single;2.429764127874052e-06;;;;4.586375931292519e-05;;;;-18.914635274485562;;
rec_20240210_1019;22;300.0;1.8333333333333333;243.112552215654;0.131200096348944;single;0.0003638259516258955;;;;0.7879558936950295;;;;-38.327253815582075;;
rec_20240312_2054;12;300.0;0.9166666666666666;137.594275575349;0.1336442512692964;single;3.904132732332446e-06;;;;0.00017636031023637866;;;;-23.573888175295775;;
rec_20240326_2129;12;300.0;0.9166666666666666;360.598890890935;0.2853089107252876;single;5.388821875122621e-05;;;;0.08818272292354712;;;;-36.25817717487723;;
