year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class;t_start;t_end;t_peak;delta_hours_prev_end_to_start;delta_hours_prev_peak_to_peak;sequence_id;rank_in_sequence;sequence_size;n_prev_in_sequence;memory_class
2023;11;86772;93446;113.0;3.545322705077593;11.0;75.1175537850806;2871.71139111285;très humide (>15 L/s);2023-10-29 07:04:00;2023-11-21 11:14:00;2023-11-04 17:24:00;14.083333333333334;288.0;45;2;2;1;enchaîné, Pante élevée
2023;12;95242;97824;25.0;0.5716145988877702;0.0;17.0706274565039;463.0078250990939;très humide (>15 L/s);2023-11-27 16:54:00;2023-12-06 16:04:00;2023-11-30 07:29:00;149.66666666666666;614.0833333333334;46;1;1;0;isolé & sec
2024;1;19334;21338;155.0;71.68587231292956;0.0;38.7878303773371;58065.556573472946;très humide (>15 L/s);2024-03-08 03:14:00;2024-03-15 02:14:00;2024-03-09 22:49:00;2219.1666666666665;2415.3333333333335;47;1;2;0;isolé & sec
2024;2;21476;22920;5.0;14.170889720296856;0.0;99.48043342768095;11478.420673440452;très humide (>15 L/s);2024-03-15 13:44:00;2024-03-20 14:04:00;2024-03-18 14:04:00;11.5;207.25;47;2;2;1;enchaîné, peu de Pante
2024;3;24404;26936;243.5;167.38906136935574;0.0;67.1664232373372;135585.13970917815;très humide (>15 L/s);2024-03-25 17:44:00;2024-04-03 12:44:00;2024-03-31 19:44:00;123.66666666666667;317.6666666666667;48;1;1;0;isolé & sec
2024;4;28480;30062;8.5;0.14566773054171547;0.0;45.9967666399317;117.99086173878953;très humide (>15 L/s);2024-04-08 21:24:00;2024-04-14 09:14:00;2024-04-09 05:04:00;128.66666666666666;201.33333333333334;49;1;1;0;isolé & sec
2024;5;33399;35791;282.5;161.57896453184935;0.0;11.5098766753941;130878.96127079797;humide (5–15 L/s);2024-04-25 23:19:00;2024-05-04 06:39:00;2024-04-28 11:29:00;278.0833333333333;462.4166666666667;50;1;6;0;isolé & sec
2024;6;36280;36535;17.5;1.3314017448328082;0.0;81.0370282196892;1078.4354133145746;très humide (>15 L/s);2024-05-05 23:24:00;2024-05-06 20:39:00;2024-05-06 04:49:00;40.75;185.33333333333334;50;2;6;1;enchaîné, peu de Pante
2024;7;36736;38241;3.0;0.01068613724952988;17.5;66.7145604185516;8.655771172119202;très humide (>15 L/s);2024-05-07 13:24:00;2024-05-12 18:49:00;2024-05-07 19:44:00;16.75;38.916666666666664;50;3;6;2;enchaîné, Pante élevée
2024;8;38690;41220;105.0;18.757297648392097;0.0;29.5480365158917;15193.4110951976;très humide (>15 L/s);2024-05-14 08:14:00;2024-05-23 03:04:00;2024-05-14 16:54:00;37.416666666666664;165.16666666666666;50;4;6;3;enchaîné, peu de Pante
2024;9;41619;44730;8.0;0.0001868375025400371;0.0;40.769104738124;0.15133837705743006;très humide (>15 L/s);2024-05-24 12:19:00;2024-06-04 07:34:00;2024-05-24 13:44:00;33.25;236.83333333333334;50;5;6;4;enchaîné, peu de Pante
2024;10;45342;45648;3.0;0.00571538413064885;0.0;13.7744748935337;4.629461145825569;humide (5–15 L/s);2024-06-06 10:34:00;2024-06-07 12:04:00;2024-06-06 12:39:00;51.0;310.9166666666667;50;6;6;5;enchaîné, peu de Pante
2024;11;50840;53460;29.0;0.4205323298849401;1.5;4.38117954377188;340.6311872068015;sec (1–5 L/s);2024-06-25 12:44:00;2024-07-04 15:04:00;2024-06-29 16:34:00;432.6666666666667;555.9166666666666;51;1;3;0;isolé & sec
2024;12;53894;58008;11.5;0.0039895303636451026;0.0;3.68400263795114;3.2315195945525335;sec (1–5 L/s);2024-07-06 03:14:00;2024-07-20 10:04:00;2024-07-06 09:14:00;36.166666666666664;160.66666666666666;51;2;3;1;enchaîné, peu de Pante
2024;13;58197;59880;18.5;0.12974246089125221;0.0;1.71211269348973;105.0913933219143;sec (1–5 L/s);2024-07-21 01:49:00;2024-07-26 22:04:00;2024-07-21 05:59:00;15.75;356.75;51;3;3;2;enchaîné, peu de Pante
2024;14;61849;63192;27.0;0.13309735235488898;0.0;0.882292086996248;107.80885540746009;très sec (Q0 < 1 L/s);2024-08-02 18:09:00;2024-08-07 10:04:00;2024-08-02 20:34:00;164.08333333333334;302.5833333333333;52;1;1;0;isolé & sec
2024;15;65005;65608;41.0;0.14369577445502638;0.0;0.812542327377;116.39357730857135;très sec (Q0 < 1 L/s);2024-08-13 17:09:00;2024-08-15 19:24:00;2024-08-15 19:24:00;151.08333333333334;310.8333333333333;53;1;1;0;isolé & sec
2024;16;71320;75288;72.0;0.7682605076715937;1.5;0.698045612281736;622.2910112139908;très sec (Q0 < 1 L/s);2024-09-04 15:24:00;2024-09-18 10:04:00;2024-09-04 23:24:00;476.0;484.0;54;1;2;0;isolé & sec
2024;17;75389;86693;995.0;394.0327570500011;0.0;1.93043821857338;319166.5332105009;sec (1–5 L/s);2024-09-18 18:29:00;2024-10-28 00:29:00;2024-10-16 08:29:00;8.416666666666666;993.0833333333334;54;2;2;1;enchaîné, peu de Pante
2024;18;89139;91704;10.0;0.0;0.0;37.1846292353843;0.0;très humide (>15 L/s);2024-11-05 12:19:00;2024-11-14 10:04:00;2024-11-05 13:04:00;203.83333333333334;484.5833333333333;55;1;1;0;isolé & sec
2024;19;93214;95007;121.0;24.627683756582428;0.0;12.446947694442;19948.42384283177;humide (5–15 L/s);2024-11-19 15:54:00;2024-11-25 21:19:00;2024-11-25 20:54:00;125.83333333333333;487.8333333333333;56;1;1;0;isolé & sec
2024;20;97782;99804;7.5;0.033657630236068194;0.0;28.74232379254;27.262680491215235;très humide (>15 L/s);2024-12-05 12:34:00;2024-12-12 13:04:00;2024-12-07 14:04:00;231.25;281.1666666666667;57;1;2;0;isolé & sec
2024;21;100131;104100;13.0;0.07031549459600851;0.0;16.8968933994681;56.95555062276689;très humide (>15 L/s);2024-12-13 16:19:00;2024-12-27 11:04:00;2024-12-22 12:24:00;27.25;358.3333333333333;57;2;2;1;enchaîné, peu de Pante
